date,instrument,group,point_id,display_name,longitude_WGS84,latitude_WGS84,elevation_m,original_label
2026-05-02,ERT,ERT electrodes,44,0502-E44,-91.5857335864,41.6657674621,214.172,ERT_043
2026-05-02,ERT,ERT electrodes,45,0502-E45,-91.5857297303,41.6657806458,214.217,ERT_044
2026-05-02,ERT,ERT electrodes,46,0502-E46,-91.5857258623,41.6657938293,214.262,ERT_045
2026-05-02,ERT,ERT electrodes,47,0502-E47,-91.5857220066,41.6658069949,214.306,ERT_046
2026-05-02,ERT,ERT electrodes,48,0502-E48,-91.5857181386,41.6658201784,214.351,ERT_047
2026-05-02,Seismic,Seismic line 1000,01,0502-S1000-01,-91.5858746593,41.6651458236,204.113,1000_1
2026-05-02,Seismic,Seismic line 1000,02,0502-S1000-02,-91.5858702479,41.6651635308,204.133,1000_2
2026-05-02,Seismic,Seismic line 1000,03,0502-S1000-03,-91.5858658364,41.6651812381,204.217,1000_3
2026-05-02,Seismic,Seismic line 1000,04,0502-S1000-04,-91.5858614252,41.6651989364,204.257,1000_4
2026-05-02,Seismic,Seismic line 1000,05,0502-S1000-05,-91.5858570138,41.6652166436,204.317,1000_5
2026-05-02,Seismic,Seismic line 1000,06,0502-S1000-06,-91.5858526024,41.6652343509,204.297,1000_6
2026-05-02,Seismic,Seismic line 1000,07,0502-S1000-07,-91.5858482030,41.6652520583,204.301,1000_7
2026-05-02,Seismic,Seismic line 1000,08,0502-S1000-08,-91.5858437918,41.6652697566,204.341,1000_8
2026-05-02,Seismic,Seismic line 1000,09,0502-S1000-09,-91.5858393804,41.6652874639,204.401,1000_9
2026-05-02,Seismic,Seismic line 1000,10,0502-S1000-10,-91.5858349689,41.6653051711,204.481,1000_10
2026-05-02,Seismic,Seismic line 1000,11,0502-S1000-11,-91.5858305575,41.6653228784,204.530,1000_11
2026-05-02,Seismic,Seismic line 1000,12,0502-S1000-12,-91.5858261463,41.6653405767,204.570,1000_12
2026-05-02,Seismic,Seismic line 1000,13,0502-S1000-13,-91.5858217348,41.6653582839,204.610,1000_13
2026-05-02,Seismic,Seismic line 1000,14,0502-S1000-14,-91.5858173234,41.6653759912,204.630,1000_14
2026-05-02,Seismic,Seismic line 1000,15,0502-S1000-15,-91.5858129120,41.6653936984,204.678,1000_15
2026-05-02,Seismic,Seismic line 1000,16,0502-S1000-16,-91.5858085007,41.6654113967,204.698,1000_16
