OBJECTID,Line,Sample,X,Y,Mark,Status,GPSStat,Time_ms_,Time_hhmmss_sss_,PowerLn,ResLayer_1,ResLayer_2,ResLayer_3,ResLayer_4,ResLayer_5,ThiLayer_1,ThiLayer_2,ThiLayer_3,ThiLayer_4,FitError___
392,1,41835,617568.57,4613617.12,135,0,1,75345549.2,205545.5492,2.3,1834.899,1755.203,3.239,1042.209,1723.159,0.201,0.307,0.2,0.216,61.42
393,1,41836,617568.56,4613617.14,135,0,1,75345649.2,205545.6492,2.3,2000,2000,1.253,1210.239,1903.76,0.339,6,6,0.2,38.79
394,1,41837,617568.54,4613617.15,135,0,1,75345749.2,205545.7492,2.3,1853.832,1713.946,1.978,1212.411,2000,0.326,3.868,0.2,0.2,64.82
395,1,41838,617568.53,4613617.17,135,0,1,75345849.2,205545.8492,2.4,1331.557,1187.318,3.928,1262.538,2000,0.201,0.323,0.2,0.2,18.3
396,1,41839,617568.51,4613617.19,135,0,1,75345949.2,205545.9492,2.4,1321.471,1180.724,4.846,1264.913,2000,0.2,0.2,0.2,0.2,28.54
397,1,41840,617568.5,4613617.21,135,0,1,75346049.2,205546.0492,2.4,1321.902,1181.201,5.35,1265.393,2000,0.2,0.2,0.2,0.2,36.81
398,1,41841,617568.48,4613617.23,135,0,1,75346149.2,205546.1492,2.4,1239.995,1124.451,8.418,1280.306,2000,0.2,0.225,0.2,0.2,36.75
399,1,41842,617568.47,4613617.25,135,0,1,75346249.2,205546.2492,2.4,1351.295,1281.268,9.303,1277.187,1721.49,0.27,4.528,0.544,0.245,23.88
400,1,41843,617568.46,4613617.26,135,0,1,75346349.2,205546.3492,2.2,1351.295,1281.268,9.303,1277.187,1721.49,0.27,4.528,0.544,0.245,40.71
401,1,41844,617568.44,4613617.28,135,0,1,75346449.2,205546.4492,2.4,1411.234,1470.029,6.549,1275.093,1593.852,0.277,6,0.398,0.254,68.65
402,1,41845,617568.43,4613617.3,135,0,1,75346549.2,205546.5492,2.4,1323.174,1327.84,5.784,1274.288,1447.812,0.28,2.422,0.758,0.258,57.5
403,1,41846,617568.41,4613617.32,135,0,1,75346649.2,205546.6492,2.3,1386.904,1508.433,1.909,1274.187,1478.858,0.28,3.313,1.601,0.258,52.46
404,1,41847,617568.4,4613617.34,135,0,1,75346749.2,205546.7492,2.3,1439.433,1647.251,1.346,1274.278,1545.412,0.279,3.254,0.825,0.257,48.31
405,1,41848,617568.39,4613617.36,135,0,1,75346849.2,205546.8492,2.3,1433.398,1631.423,1.416,1274.273,1538.151,0.279,1.898,0.451,0.257,37.68
406,1,41849,617568.37,4613617.37,135,0,1,75346949.2,205546.9492,2.3,1221.207,1399.29,2.16,1189.681,1084.849,0.245,0.277,0.2,0.64,24.14
407,1,41850,617568.36,4613617.36,135,0,1,75347049.2,205547.0492,2.3,1221.233,1399.314,2.174,1189.715,1084.948,0.246,0.322,0.2,0.64,32.75
408,1,41851,617568.34,4613617.3,135,0,1,75347149.2,205547.1492,2.4,1221.233,1399.314,2.174,1189.715,1084.948,0.246,0.322,0.2,0.64,79.13
409,1,41852,617568.33,4613617.24,135,0,1,75347249.2,205547.2492,2.4,1221.233,1399.314,2.174,1189.715,1084.948,0.246,0.322,0.2,0.64,42.65
410,1,41853,617568.32,4613617.19,135,0,1,75347349.2,205547.3492,2.3,1383.806,1332.779,2.51,2000,2000,0.2,3.214,0.2,6,28.42
411,1,41854,617568.31,4613617.13,135,0,1,75347449.2,205547.4492,2.4,1335.259,1264.943,3.798,2000,2000,0.2,0.2,0.2,6,27.68
412,1,41855,617568.29,4613617.08,135,0,1,75347549.2,205547.5492,2.4,1335.568,1265.286,4.162,2000,2000,0.2,0.2,0.2,6,47.7
413,1,41856,617568.28,4613617.02,135,0,1,75347649.2,205547.6492,2.4,1333.578,1264.71,4.37,1902.512,1902.564,0.204,0.286,0.351,6,35.82
414,1,41857,617568.27,4613616.97,135,0,1,75347749.2,205547.7492,2.3,1333.578,1264.71,4.37,1902.512,1902.564,0.204,0.286,0.351,6,44.19
415,1,41858,617568.25,4613616.91,135,0,1,75347849.2,205547.8492,2.3,1330.633,1261.786,5.084,1814.062,1637.559,0.216,1.288,1.035,5.353,63.34
416,1,41859,617568.24,4613616.85,136,0,1,75347949.2,205547.9492,2.3,1361.12,1344.054,2.048,1855.412,1774.828,0.216,2.141,0.864,6,50.53
417,1,41860,617568.23,4613616.8,136,0,1,75348049.2,205548.0492,2.4,1358.739,1337.465,2.158,1852.036,1764.562,0.216,1.289,0.421,5.941,33.6
418,1,41861,617568.21,4613616.74,136,0,1,75348149.2,205548.1492,2.4,1358.782,1337.551,2.147,1851.923,1764.464,0.216,2.587,0.734,5.94,34.52
419,1,41862,617568.2,4613616.69,136,0,1,75348249.2,205548.2492,2.4,1335.666,1309.77,3.466,1680.337,1260.322,0.201,0.272,0.2,0.839,59.13
420,1,41863,617568.19,4613616.63,136,0,1,75348349.2,205548.3492,2.4,1335.647,1309.768,3.487,1680.458,1261.965,0.2,0.2,0.2,0.841,31.06
421,1,41864,617568.18,4613616.58,136,0,1,75348449.2,205548.4492,2.3,1332.323,1308.796,3.846,1665.145,1141.528,0.215,1.102,0.844,0.486,37.6
422,1,41865,617568.16,4613616.52,136,0,1,75348549.2,205548.5492,2.4,1311.177,1297.206,2.728,1676.627,1742.41,0.2,0.2,0.2,0.591,36.84
423,1,41866,617568.15,4613616.46,136,0,1,75348649.2,205548.6492,2.4,1309.89,1296.833,2.865,1673.751,1657.64,0.204,0.257,0.327,0.598,38.75
424,1,41867,617568.14,4613616.41,136,0,1,75348749.2,205548.7492,2.4,1309.944,1296.874,2.871,1673.727,1656.871,0.205,0.552,0.399,0.598,35.3
425,1,41868,617568.12,4613616.35,136,0,1,75348849.2,205548.8492,2.4,1305.574,1294.725,2.61,1676.478,1776.509,0.2,0.2,0.2,0.595,27.21
426,1,41869,617568.11,4613616.3,136,0,1,75348949.2,205548.9492,2.3,1305.632,1294.79,2.679,1676.659,1778.147,0.2,0.2,0.2,0.595,25.5
427,1,41870,617568.1,4613616.25,136,0,1,75349049.2,205549.0492,2.4,1299.949,1292.099,2.424,1680.227,1937.205,0.2,0.2,0.2,0.58,25.51
428,1,41871,617568.08,4613616.21,136,0,1,75349149.2,205549.1492,2.4,1299.991,1292.148,2.474,1680.357,1938.372,0.2,0.2,0.2,0.579,24.53
429,1,41872,617568.07,4613616.18,136,0,1,75349249.2,205549.2492,2.4,1300.125,1292.249,2.475,1680.288,1935.712,0.202,1.03,0.318,0.58,35.37
430,1,41873,617568.06,4613616.14,136,0,1,75349349.2,205549.3492,2.4,1300.128,1292.255,2.475,1680.289,1935.704,0.202,1.076,0.315,0.58,32.42
431,1,41892,617568.11,4613616.13,136,0,1,75351249.2,205551.2492,2.4,1337.001,1383.504,1.848,1699.295,1501.902,0.216,2.799,0.492,0.374,47.02
432,1,41893,617568.11,4613616.15,136,0,1,75351349.2,205551.3492,2.4,1480.275,1897.22,4.607,1718.04,2000,0.204,6,0.2,0.448,67.42
433,1,41894,617568.11,4613616.17,136,0,1,75351449.2,205551.4492,2.5,1477.483,1880.532,4.491,1717.838,1998.719,0.203,0.351,0.302,0.449,42.89
434,1,41895,617568.11,4613616.18,136,0,1,75351549.2,205551.5492,2.4,1524.627,2000,1.507,1717.79,2000,0.216,2.62,0.764,0.448,25.7
435,1,41896,617568.11,4613616.2,136,0,1,75351649.2,205551.6492,2.4,1523.196,1995.522,1.54,1717.775,1995.196,0.216,1.872,0.493,0.449,24.3
436,1,41897,617568.11,4613616.22,136,0,1,75351749.2,205551.7492,2.5,1308.511,1744.685,1.924,1581.234,1634.215,0.218,0.301,0.2,0.89,22.28
437,1,41898,617568.11,4613616.24,136,0,1,75351849.2,205551.8492,2.4,1308.532,1744.718,1.946,1581.313,1634.617,0.218,0.314,0.2,0.89,26.55
438,1,41899,617568.1,4613616.26,136,0,1,75351949.2,205551.9492,2.4,1306.644,1743.851,2.047,1576.579,1554.586,0.22,0.857,0.213,0.906,47.62
439,1,41900,617568.12,4613616.29,136,0,1,75352049.2,205552.0492,2.4,1268.444,1708.926,2.284,1525.878,1406.948,0.22,0.37,0.2,0.636,38.44
440,1,41901,617568.15,4613616.32,136,0,1,75352149.2,205552.1492,2.5,1204.222,1624.275,2.523,1474.5,1272.976,0.228,1.625,0.627,0.374,30.39
441,1,41902,617568.17,4613616.36,136,0,1,75352249.2,205552.2492,2.5,1204.22,1624.257,2.515,1474.496,1272.935,0.228,1.477,0.822,0.374,17.91
442,1,41903,617568.2,4613616.4,136,0,1,75352349.2,205552.3492,2.4,1135.935,1540.406,2.088,1475.053,1450.571,0.2,0.2,0.2,0.37,26.62
443,1,41904,617568.23,4613616.44,136,0,1,75352449.2,205552.4492,2.5,1135.981,1540.429,2.087,1475.034,1449.411,0.201,0.415,0.272,0.37,30.33
444,1,41905,617568.25,4613616.47,136,0,1,75352549.2,205552.5492,2.5,1088.944,1487.828,1.79,1436.587,1458.323,0.206,1.939,0.716,0.338,14.12
445,1,41906,617568.28,4613616.51,136,0,1,75352649.2,205552.6492,2.4,1086.83,1482.026,1.884,1436.557,1440.378,0.206,1.262,0.392,0.338,26.24
446,1,41907,617568.31,4613616.55,136,0,1,75352749.2,205552.7492,2.5,1086.832,1482.023,1.88,1436.554,1440.328,0.206,1.312,0.486,0.338,19.2
447,1,41908,617568.34,4613616.59,136,0,1,75352849.2,205552.8492,2.5,1064.274,1413.61,5.802,1436.388,1378.457,0.207,1.657,4.549,0.338,22.69
448,1,41909,617568.36,4613616.62,136,0,1,75352949.2,205552.9492,2.4,1064.079,1413.1,5.988,1436.386,1378.194,0.207,1.657,6,0.338,23.88
449,1,41910,617568.37,4613616.66,136,0,1,75353049.2,205553.0492,2.5,1074.392,1433.946,3.476,1436.767,1620.72,0.206,1.151,0.89,0.338,25.62
450,1,41911,617568.35,4613616.7,136,0,1,75353149.2,205553.1492,2.4,1074.274,1433.775,3.511,1436.796,1621.712,0.205,0.267,0.384,0.338,28.34
451,1,41912,617568.33,4613616.73,136,0,1,75353249.2,205553.2492,2.5,1109.896,1528.978,1.267,1437.128,1787.42,0.213,2.191,0.639,0.335,14.01
452,1,41913,617568.31,4613616.77,136,0,1,75353349.2,205553.3492,2.5,1109.896,1528.976,1.267,1437.128,1787.42,0.213,2.157,0.638,0.335,12.64
453,1,41914,617568.29,4613616.8,136,0,1,75353449.2,205553.4492,2.6,1109.896,1528.978,1.266,1437.128,1787.418,0.213,2.198,0.65,0.335,11.96
454,1,41915,617568.27,4613616.84,136,0,1,75353549.2,205553.5492,2.4,1109.897,1528.98,1.266,1437.127,1787.417,0.213,2.234,0.656,0.335,12.55
455,1,41916,617568.26,4613616.88,136,0,1,75353649.2,205553.6492,2.5,1109.898,1528.982,1.266,1437.127,1787.416,0.213,2.284,0.661,0.335,13.14
456,1,41917,617568.24,4613616.91,136,0,1,75353749.2,205553.7492,2.4,1109.899,1528.986,1.266,1437.127,1787.412,0.213,2.365,0.689,0.335,13.39
457,1,41918,617568.22,4613616.95,136,0,1,75353849.2,205553.8492,2.4,1113.192,1538.825,1.204,1437.159,1800.44,0.213,2.39,0.662,0.335,13.64
458,1,41919,617568.2,4613616.99,136,0,1,75353949.2,205553.9492,2.4,1290.685,2000,0.363,1438.71,2000,0.204,2.655,0.202,0.317,15.1
459,1,41920,617568.18,4613617.02,136,0,1,75354049.2,205554.0492,2.4,1290.686,2000,0.363,1438.71,2000,0.204,2.739,0.2,0.317,17.96
460,1,41921,617568.16,4613617.06,136,0,1,75354149.2,205554.1492,2.4,1290.686,2000,0.363,1438.71,2000,0.204,2.75,0.2,0.317,17.65
461,1,41922,617568.15,4613617.09,136,0,1,75354249.2,205554.2492,2.5,1290.686,2000,0.363,1438.71,2000,0.204,2.759,0.2,0.317,18.08
462,1,41923,617568.13,4613617.13,136,0,1,75354349.2,205554.3492,2.4,1290.686,2000,0.364,1438.71,2000,0.204,2.79,0.2,0.317,20.44
463,1,41924,617568.11,4613617.17,136,0,1,75354449.2,205554.4492,2.4,1290.685,1999.997,0.364,1438.711,2000,0.204,2.729,0.2,0.317,18.42
464,1,41925,617568.09,4613617.2,136,0,1,75354549.2,205554.5492,2.4,1290.684,1999.994,0.364,1438.711,2000,0.204,2.652,0.2,0.317,16.02
465,1,41926,617568.07,4613617.24,136,0,1,75354649.2,205554.6492,2.4,1290.684,1999.994,0.364,1438.711,2000,0.204,2.652,0.2,0.317,16.31
466,1,41927,617568.05,4613617.27,136,0,1,75354749.2,205554.7492,2.4,1290.684,1999.993,0.364,1438.711,2000,0.204,2.634,0.2,0.317,13.55
467,1,41928,617568.04,4613617.31,136,0,1,75354849.2,205554.8492,2.4,1290.684,1999.995,0.364,1438.711,2000,0.204,2.669,0.2,0.317,13.31
468,1,41929,617568.02,4613617.35,136,0,1,75354949.2,205554.9492,2.5,1290.684,1999.995,0.364,1438.711,2000,0.204,2.669,0.2,0.317,15.12
469,1,41930,617568,4613617.38,136,0,1,75355049.2,205555.0492,2.5,1290.683,1999.992,0.364,1438.711,2000,0.204,2.607,0.2,0.317,13.3
470,1,41931,617567.98,4613617.42,136,0,1,75355149.2,205555.1492,2.4,1290.683,1999.992,0.364,1438.711,2000,0.204,2.62,0.2,0.317,12.15
471,1,41932,617567.96,4613617.45,136,0,1,75355249.2,205555.2492,2.4,1290.684,1999.995,0.364,1438.711,2000,0.204,2.707,0.2,0.317,14.87
472,1,41933,617567.94,4613617.49,136,0,1,75355349.2,205555.3492,2.4,1290.684,1999.998,0.364,1438.711,2000,0.204,2.782,0.2,0.317,18.9
473,1,41934,617567.92,4613617.53,136,0,1,75355449.2,205555.4492,2.5,1290.683,1999.995,0.364,1438.711,2000,0.204,2.716,0.2,0.317,16.76
474,1,41935,617567.91,4613617.56,136,0,1,75355549.2,205555.5492,2.5,1290.683,1999.995,0.364,1438.711,2000,0.204,2.716,0.2,0.317,16.35
475,1,41936,617567.89,4613617.6,136,0,1,75355649.2,205555.6492,2.4,1290.683,1999.995,0.364,1438.711,2000,0.204,2.716,0.2,0.317,17
476,1,41937,617567.87,4613617.63,136,0,1,75355749.2,205555.7492,2.4,1290.683,1999.994,0.364,1438.711,2000,0.204,2.693,0.2,0.317,18.7
477,1,41938,617567.85,4613617.67,136,0,1,75355849.2,205555.8492,2.4,1290.683,1999.995,0.364,1438.711,2000,0.204,2.734,0.2,0.317,17.44
478,1,41939,617567.83,4613617.71,136,0,1,75355949.2,205555.9492,2.4,1290.683,1999.996,0.364,1438.711,2000,0.204,2.741,0.2,0.317,16.7
479,1,41940,617567.81,4613617.74,136,0,1,75356049.2,205556.0492,2.4,1290.683,1999.996,0.364,1438.711,2000,0.204,2.741,0.2,0.317,18.45
480,1,41941,617567.8,4613617.78,136,0,1,75356149.2,205556.1492,2.4,1290.683,1999.996,0.364,1438.711,2000,0.204,2.756,0.2,0.317,17.2
481,1,41942,617567.78,4613617.81,136,0,1,75356249.2,205556.2492,2.4,1290.684,1999.999,0.364,1438.712,2000,0.204,2.838,0.2,0.317,19.65
482,1,41943,617567.76,4613617.85,136,0,1,75356349.2,205556.3492,2.5,1290.683,1999.998,0.364,1438.712,2000,0.204,2.811,0.2,0.317,18.69
483,1,41944,617567.74,4613617.89,136,0,1,75356449.2,205556.4492,2.5,1290.683,1999.996,0.364,1438.712,2000,0.204,2.781,0.2,0.317,16.99
484,1,41945,617567.72,4613617.92,136,0,1,75356549.2,205556.5492,2.4,1290.683,1999.996,0.364,1438.712,2000,0.204,2.781,0.2,0.317,15.58
485,1,41946,617567.7,4613617.96,136,0,1,75356649.2,205556.6492,2.6,1307.982,2000,0.346,1438.822,2000,0.203,3.025,0.2,0.316,21.83
486,1,41947,617567.68,4613617.99,136,0,1,75356749.2,205556.7492,2.4,1319.099,2000,0.335,1438.892,2000,0.203,2.97,0.2,0.315,18.78
487,1,41948,617567.67,4613618.03,136,0,1,75356849.2,205556.8492,2.5,1319.099,2000,0.335,1438.892,2000,0.203,3.011,0.2,0.315,20.82
488,1,41949,617567.65,4613618.07,136,0,1,75356949.2,205556.9492,2.5,1319.098,1999.998,0.335,1438.892,2000,0.203,2.963,0.2,0.315,19.24
489,1,41950,617567.63,4613618.1,136,0,1,75357049.2,205557.0492,2.4,1319.098,1999.998,0.335,1438.892,2000,0.203,2.963,0.2,0.315,18.49
490,1,41951,617567.61,4613618.14,136,0,1,75357149.2,205557.1492,2.5,1319.099,2000,0.336,1438.892,2000,0.203,3.045,0.2,0.315,20.51
491,1,41952,617567.59,4613618.17,136,0,1,75357249.2,205557.2492,2.4,1319.099,2000,0.336,1438.892,2000,0.203,3.064,0.2,0.315,21.43
492,1,41953,617567.57,4613618.21,136,0,1,75357349.2,205557.3492,2.4,1319.098,1999.998,0.336,1438.892,2000,0.203,3.017,0.2,0.315,18.94
493,1,41954,617567.56,4613618.25,136,0,1,75357449.2,205557.4492,2.5,1319.097,1999.994,0.336,1438.892,2000,0.203,2.93,0.2,0.315,15.71
494,1,41955,617567.54,4613618.28,136,0,1,75357549.2,205557.5492,2.5,1319.097,1999.994,0.336,1438.892,2000,0.203,2.931,0.2,0.315,17.71
495,1,41956,617567.52,4613618.32,136,0,1,75357649.2,205557.6492,2.4,1319.097,1999.994,0.336,1438.892,2000,0.203,2.931,0.2,0.315,16.61
496,1,41957,617567.5,4613618.36,136,0,1,75357749.2,205557.7492,2.4,1319.097,1999.993,0.336,1438.892,2000,0.203,2.901,0.2,0.315,17.84
497,1,41958,617567.48,4613618.39,136,0,1,75357849.2,205557.8492,2.4,1319.097,1999.993,0.336,1438.892,2000,0.203,2.901,0.2,0.315,16.42
498,1,41959,617567.46,4613618.43,136,0,1,75357949.2,205557.9492,2.6,1319.096,1999.992,0.336,1438.892,2000,0.203,2.885,0.2,0.315,14.39
499,1,41960,617567.45,4613618.46,136,0,1,75358049.2,205558.0492,2.4,1319.096,1999.989,0.336,1438.892,2000,0.203,2.816,0.2,0.315,13.24
500,1,41961,617567.43,4613618.5,136,0,1,75358149.2,205558.1492,2.4,1319.096,1999.992,0.336,1438.892,2000,0.203,2.926,0.2,0.315,16.06
501,1,41962,617567.41,4613618.54,136,0,1,75358249.2,205558.2492,2.6,1319.097,1999.998,0.336,1438.893,2000,0.203,3.103,0.2,0.315,21.95
502,1,41963,617567.39,4613618.57,136,0,1,75358349.2,205558.3492,2.5,1319.096,1999.995,0.336,1438.893,2000,0.203,3.033,0.2,0.315,19.01
503,1,41964,617567.37,4613618.61,136,0,1,75358449.2,205558.4492,2.6,1319.096,1999.995,0.336,1438.893,2000,0.203,3.038,0.2,0.315,19.33
504,1,41965,617567.35,4613618.64,136,0,1,75358549.2,205558.5492,2.4,1319.094,1999.989,0.336,1438.893,2000,0.203,2.921,0.2,0.315,16.51
505,1,41966,617567.33,4613618.68,136,0,1,75358649.2,205558.6492,2.4,1319.094,1999.988,0.336,1438.893,2000,0.203,2.895,0.2,0.315,15.35
506,1,41967,617567.32,4613618.72,136,0,1,75358749.2,205558.7492,2.4,1319.094,1999.99,0.336,1438.893,2000,0.203,2.954,0.2,0.315,16.74
507,1,41968,617567.3,4613618.75,136,0,1,75358849.2,205558.8492,2.4,1319.094,1999.991,0.336,1438.893,2000,0.203,3.003,0.2,0.315,18.75
508,1,41969,617567.28,4613618.79,136,0,1,75358949.2,205558.9492,2.4,1319.093,1999.989,0.336,1438.893,2000,0.203,2.949,0.2,0.315,17.27
509,1,41970,617567.26,4613618.82,136,0,1,75359049.2,205559.0492,2.6,1319.094,1999.991,0.337,1438.893,2000,0.203,3.013,0.2,0.315,19.64
510,1,41971,617567.24,4613618.86,136,0,1,75359149.2,205559.1492,2.5,1319.093,1999.988,0.337,1438.893,2000,0.203,2.965,0.2,0.315,17.57
511,1,41972,617567.22,4613618.9,136,0,1,75359249.2,205559.2492,2.4,1319.092,1999.986,0.337,1438.894,2000,0.203,2.919,0.2,0.315,16
512,1,41973,617567.21,4613618.93,136,0,1,75359349.2,205559.3492,2.5,1319.091,1999.984,0.337,1438.894,2000,0.203,2.883,0.2,0.315,16.68
513,1,41974,617567.19,4613618.97,136,0,1,75359449.2,205559.4492,2.4,1319.091,1999.984,0.337,1438.894,2000,0.203,2.883,0.2,0.315,16.45
514,1,41975,617567.17,4613619,136,0,1,75359549.2,205559.5492,2.4,1319.092,1999.985,0.337,1438.894,2000,0.203,2.919,0.2,0.315,17.02
515,1,41976,617567.15,4613619.04,136,0,1,75359649.2,205559.6492,2.4,1319.092,1999.986,0.337,1438.894,2000,0.203,2.929,0.2,0.315,16.8
516,1,41977,617567.13,4613619.08,136,0,1,75359749.2,205559.7492,2.5,1319.092,1999.986,0.337,1438.894,2000,0.203,2.929,0.2,0.315,16.39
517,1,41978,617567.11,4613619.11,136,0,1,75359849.2,205559.8492,2.4,1319.092,1999.986,0.337,1438.894,2000,0.203,2.952,0.2,0.315,17.5
518,1,41979,617567.09,4613619.15,136,0,1,75359949.2,205559.9492,2.7,1319.091,1999.984,0.337,1438.894,2000,0.203,2.906,0.2,0.315,16.02
519,1,41980,617567.08,4613619.18,136,0,1,75360049.2,205600.0492,2.4,1319.091,1999.984,0.337,1438.894,2000,0.203,2.906,0.2,0.315,15.88
520,1,41981,617567.06,4613619.22,136,0,1,75360149.2,205600.1492,2.6,1319.09,1999.982,0.337,1438.894,2000,0.203,2.87,0.2,0.315,16.25
521,1,41982,617567.04,4613619.26,136,0,1,75360249.2,205600.2492,2.4,1319.09,1999.981,0.337,1438.894,2000,0.203,2.833,0.2,0.315,15.94
522,1,41983,617567.02,4613619.29,136,0,1,75360349.2,205600.3492,2.4,1319.089,1999.979,0.337,1438.894,2000,0.203,2.8,0.2,0.315,13.76
523,1,41984,617567,4613619.33,136,0,1,75360449.2,205600.4492,2.5,1319.089,1999.979,0.337,1438.894,2000,0.203,2.8,0.2,0.315,14.51
524,1,41985,617566.98,4613619.36,136,0,1,75360549.2,205600.5492,2.4,1319.09,1999.982,0.337,1438.894,2000,0.203,2.893,0.2,0.315,19.03
525,1,41986,617566.97,4613619.4,136,0,1,75360649.2,205600.6492,2.6,1319.09,1999.983,0.337,1438.894,2000,0.203,2.924,0.2,0.315,17.87
526,1,41987,617566.95,4613619.44,136,0,1,75360749.2,205600.7492,2.4,1319.09,1999.983,0.337,1438.894,2000,0.203,2.924,0.2,0.315,15.75
527,1,41988,617566.93,4613619.47,136,0,1,75360849.2,205600.8492,2.5,1319.089,1999.981,0.337,1438.894,2000,0.203,2.896,0.2,0.315,13.84
528,1,41989,617566.91,4613619.51,136,0,1,75360949.2,205600.9492,2.4,1319.089,1999.982,0.337,1438.894,2000,0.203,2.911,0.2,0.315,15.35
529,1,41990,617566.89,4613619.55,136,0,1,75361049.2,205601.0492,2.4,1319.089,1999.98,0.337,1438.894,2000,0.203,2.882,0.2,0.315,13.62
530,1,41991,617566.87,4613619.58,136,0,1,75361149.2,205601.1492,2.6,1319.088,1999.978,0.337,1438.895,2000,0.203,2.841,0.2,0.315,12.32
531,1,41992,617566.86,4613619.62,136,0,1,75361249.2,205601.2492,2.5,1319.088,1999.981,0.338,1438.895,2000,0.203,2.95,0.2,0.315,20.02
532,1,41993,617566.84,4613619.65,136,0,1,75361349.2,205601.3492,2.5,1319.088,1999.979,0.338,1438.895,2000,0.203,2.899,0.2,0.315,16.32
533,1,41994,617566.82,4613619.69,136,0,1,75361449.2,205601.4492,2.6,1319.087,1999.976,0.338,1438.895,2000,0.203,2.844,0.2,0.315,15.56
534,1,41995,617566.8,4613619.73,136,0,1,75361549.2,205601.5492,2.5,1319.087,1999.976,0.338,1438.895,2000,0.203,2.844,0.2,0.315,15.02
535,1,42208,617567.95,4613627.33,137,0,1,75382849.2,205622.8492,2.8,1990.793,1988.163,1.929,1623.622,1666.651,0.2,0.228,0.2,0.201,31.02
536,1,42209,617568.21,4613627.36,137,0,1,75382949.2,205622.9492,2.6,1988.986,1986.966,2.168,1623.23,1498.592,0.213,1.328,0.812,0.201,34.84
537,1,42210,617568.37,4613627.3,137,0,1,75383049.2,205623.0492,2.1,1979.94,1967.445,5.494,1623.176,1450.324,0.213,1.021,3.77,0.201,29.74
538,1,42219,617569.02,4613625.81,137,0,1,75383949.1,205623.9491,2.6,1984.354,2000,1.864,1546.53,1908.638,0.218,1.844,0.82,0.202,25.73
539,1,42220,617569.07,4613625.71,137,0,1,75384049.1,205624.0491,2.4,1883.57,1897.742,2.309,1540.515,1704.777,0.202,0.2,0.2,0.232,24.87
540,1,42221,617569.1,4613625.7,137,0,1,75384149.1,205624.1491,2.4,1873.671,1893.08,1.89,1541.923,1957.756,0.2,0.2,0.2,0.227,25.68
541,1,42222,617569.13,4613625.68,137,0,1,75384249.1,205624.2491,2.7,1866.935,1875.506,3.779,1541.621,1798.897,0.217,1.91,6,0.229,26.9
542,1,42223,617569.16,4613625.66,137,0,1,75384349.1,205624.3491,2.5,1867.365,1876.734,3.5,1541.621,1798.991,0.217,2.38,5.052,0.229,36.45
543,1,42224,617569.19,4613625.64,137,0,1,75384449.1,205624.4491,3.1,1864.746,1869.037,4.874,1541.619,1797.908,0.217,1.969,6,0.229,33.48
544,1,42225,617569.21,4613625.62,137,0,1,75384549.1,205624.5491,2.5,1900.424,1972.163,1.706,1541.761,1927.536,0.217,2.425,0.833,0.228,44.9
545,1,42226,617569.24,4613625.61,137,0,1,75384649.1,205624.6491,2.5,1897.449,1963.332,1.797,1541.754,1916.897,0.216,0.802,0.37,0.228,21.71
546,1,42227,617569.27,4613625.59,137,0,1,75384749.1,205624.7491,2.8,1892.22,1959.539,2.088,1541.771,1719.069,0.2,0.2,0.2,0.229,24.53
547,1,42228,617569.3,4613625.57,137,0,1,75384849.1,205624.8491,2.5,1892.22,1959.539,2.088,1541.771,1719.069,0.2,0.2,0.2,0.229,25.25
548,1,42262,617570.03,4613628.01,137,0,1,75388249.1,205628.2491,2.5,1527.264,1258.841,1.881,1530.49,1024.87,0.2,0.209,0.2,0.2,30.11
549,1,42263,617570.04,4613628.1,137,0,1,75388349.1,205628.3491,2.5,1526.655,1258.719,1.974,1530.232,974.459,0.211,0.944,0.547,0.2,31.8
550,1,42264,617570.05,4613628.19,137,0,1,75388449.1,205628.4491,2.5,1515.699,1231.785,5.44,1530.165,910.939,0.211,1.266,6,0.2,30
551,1,42265,617570.07,4613628.28,137,0,1,75388549.1,205628.5491,2.5,1515.732,1231.848,5.28,1530.163,910.872,0.211,1.405,6,0.2,23.68
552,1,42266,617570.08,4613628.38,137,0,1,75388649.1,205628.6491,2.5,1539.158,1298.01,1.515,1530.23,970.674,0.211,2.311,0.959,0.201,19.55
553,1,42267,617570.09,4613628.47,137,0,1,75388749.1,205628.7491,2.5,1541.66,1305.465,1.442,1530.238,977.991,0.212,2.248,0.706,0.201,21.95
554,1,42268,617570.1,4613628.56,137,0,1,75388849.1,205628.8491,2.5,1541.661,1305.467,1.442,1530.238,977.989,0.212,2.288,0.722,0.201,23.26
555,1,42269,617570.12,4613628.66,137,0,1,75388949.1,205628.9491,2.5,1541.645,1305.428,1.446,1530.24,978.03,0.211,1.635,0.5,0.201,20.81
556,1,42270,617570.13,4613628.74,137,0,1,75389049.1,205629.0491,2.7,1541.644,1305.423,1.445,1530.239,978.018,0.211,1.577,0.567,0.201,19.87
557,1,42271,617570.16,4613628.81,137,0,1,75389149.1,205629.1491,2.6,1393.392,1177.962,1.771,1517.425,834.038,0.2,0.2,0.2,0.2,34.85
558,1,42272,617570.19,4613628.89,137,0,1,75389249.1,205629.2491,2.5,1393.43,1178.004,1.816,1517.468,835.022,0.2,0.2,0.2,0.201,25.71
559,1,42273,617570.21,4613628.96,137,0,1,75389349.1,205629.3491,2.8,1973.288,2000,4.436,1600.624,1696.154,0.242,6,0.2,0.374,49.3
