Line,Sample,X,Y,Mark,Status,GPSStat,Time[ms],Time[hhmmss.sss],PowerLn,I_450Hz,Q_450Hz,I_1410Hz,Q_1410Hz,I_4350Hz,Q_4350Hz,I_13530Hz,Q_13530Hz,I_42150Hz,Q_42150Hz,QSum
0,99,617646.15,4613605.3,0,0,2,71024827.3,194344.8273,1.8,-652,408.752,-32.2,4.06818,-193,470.412,108.254,1710.6,1580.67,4503.22,7097.06
0,100,617646.15,4613605.32,0,0,2,71024927.3,194344.9273,1.8,-653,385.541,-38.8,17.257,-198,450.839,116.47,1681.87,1538.77,4340.7,6876.21
0,101,617646.15,4613605.33,0,0,2,71025027.3,194345.0273,1.8,-636,374.508,-28.2,-47.5,-164,366.387,97.9622,1673.64,1480.11,4377.37,6744.43
0,102,617646.15,4613605.31,0,0,2,71025127.3,194345.1273,1.8,-752,310.282,-59.5,-8.94,-152,352.235,28.8427,1652.95,1496.1,4426.48,6733.01
0,103,617646.15,4613605.29,0,0,2,71025227.3,194345.2273,1.8,-741,316.096,-64.8,-38.8,-149,378.283,-52.9,1549.99,1510.75,4409.4,6614.96
0,104,617646.15,4613605.27,0,0,2,71025327.3,194345.3273,1.8,-734,404.32,-48.2,-37.3,-147,389.205,29.1045,1650.1,1465.58,4412.9,6819.22
0,105,617646.15,4613605.25,0,0,2,71025427.3,194345.4273,1.8,-754,471.259,-68,-27.8,-189,386.051,53.8255,1579.05,1615.12,4479.14,6887.67
0,107,617646.15,4613605.22,0,0,2,71025627.3,194345.6273,1.8,-634,313.892,16.0711,4.88302,-77.6,441.374,-22.4,1554.96,1602.31,4523.85,6838.96
0,108,617646.15,4613605.2,0,0,2,71025727.3,194345.7273,1.8,-666,373.994,-28.5,-26.1,-121,478.536,2.70524,1586.21,1571.54,4428.95,6841.55
0,109,617646.15,4613605.18,0,0,2,71025827.3,194345.8273,1.8,-741,438.574,11.8141,-48.5,-167,395.724,1.87179,1657.18,1585.43,4393.94,6836.92
0,110,617646.15,4613605.16,0,0,2,71025927.3,194345.9273,1.8,-754,433.262,35.37,-28.9,-158,466.519,-34.5,1794.94,1589.48,4395.13,7060.95
0,123,617646.18,4613605.15,0,0,2,71027227.3,194347.2273,1.8,-688,449.093,-79.3,-48.8,-117,529.406,111.885,1622.84,1550.17,4421.64,6974.22
0,126,617646.22,4613605.15,0,0,2,71027527.3,194347.5273,1.7,-641,443.99,-17.2,8.10641,-194,421.409,11.7728,1695.18,1617.82,4473.59,7042.27
0,128,617646.25,4613605.15,0,0,2,71027727.3,194347.7273,1.7,-678,515.251,36.0616,43.2227,-167,478.871,137.119,1459.58,1508.81,4573.46,7070.38
0,131,617646.29,4613605.15,0,0,2,71028027.3,194348.0273,1.8,-739,482.083,-8.15,-28.6,-137,455.927,20.8963,1597.85,1498.32,4495.08,7002.38
0,132,617646.31,4613605.15,0,0,2,71028127.3,194348.1273,1.8,-691,496.703,-40.7,10.007,-145,483.494,77.1639,1631.51,1427.88,4488.55,7110.26
0,133,617646.32,4613605.15,0,0,2,71028227.3,194348.2273,1.8,-669,532.316,-68.3,-4.95,-133,421.733,107.483,1584.24,1423.59,4509.23,7042.56
0,134,617646.33,4613605.15,0,0,2,71028327.3,194348.3273,1.8,-761,530.915,-80.6,-30.2,-91.4,325.183,68.8152,1755.71,1496.67,4501.43,7083
0,135,617646.35,4613605.15,0,0,2,71028427.3,194348.4273,1.8,-720,447.282,-75.4,-40.5,-204,376.11,20.7174,1862.89,1561.8,4424.2,7069.98
0,136,617646.36,4613605.15,0,0,2,71028527.3,194348.5273,1.7,-710,470.924,-46.1,-28,-229,499.117,-9.33,1762.99,1522.91,4455.86,7160.91
0,137,617646.38,4613605.15,0,0,2,71028627.3,194348.6273,1.7,-715,480.186,28.109,-16.1,-196,481.176,30.2689,1769.95,1473.18,4424.84,7140.02
0,138,617646.39,4613605.15,0,0,2,71028727.3,194348.7273,1.8,-676,495.436,24.602,-13.9,-160,429.365,146.746,1775.19,1504.59,4442.19,7128.24
0,139,617646.4,4613605.15,0,0,2,71028827.3,194348.8273,1.8,-613,495.532,34.8419,-9.04,-130,476.909,29.7233,1729.44,1609.39,4450.61,7143.45
0,140,617646.42,4613605.15,0,0,2,71028927.3,194348.9273,1.8,-734,448.602,13.4659,33.9457,-146,478.954,-156,1771.21,1661.14,4494.2,7226.92
0,141,617646.43,4613605.15,0,0,2,71029027.3,194349.0273,1.7,-741,477.129,-83.8,67.8918,-188,409.903,-109,1692.22,1561.9,4391.31,7038.45
0,142,617646.44,4613605.13,0,0,2,71029127.3,194349.1273,1.7,-747,439.12,-97.2,36.2661,-157,485.739,126.557,1641.52,1471.16,4280.12,6882.77
0,143,617646.46,4613605.11,0,0,2,71029227.3,194349.2273,1.8,-828,437.062,-73.1,-12.5,-142,520.179,31.8446,1611.62,1552.88,4353.46,6909.85
0,144,617646.47,4613605.09,0,0,2,71029327.3,194349.3273,1.7,-798,447.785,-28.8,8.12406,-132,460.126,78.6588,1629.44,1566,4353.3,6898.77
