48
# x y z
0.000	0.000	0.000000
17	26	20	23	11.835768	0.873200	37.699112
17	29	21	25	10.513042	0.175200	50.265482
17	32	22	27	11.680280	0.078200	62.831853
17	35	23	29	9.906336	1.054800	75.398224
17	38	24	31	7.011671	0.999000	87.964594
17	44	26	35	14.645698	1.165900	113.097336
18	21	19	20	27.138013	0.090400	12.566371
18	24	20	22	17.699114	0.031900	25.132741
18	27	21	24	18.849556	0.361700	37.699112
18	30	22	26	12.100949	0.151200	50.265482
18	33	23	28	12.067045	0.405600	62.831853
18	36	24	30	8.699795	0.935700	75.398224
18	45	27	36	15.322865	1.195500	113.097336
18	48	28	38	11.134759	0.944600	125.663706
19	22	20	21	28.623400	0.025700	12.566371
19	25	21	23	17.448846	0.082400	25.132741
19	28	22	25	18.159938	0.880000	37.699112
19	31	23	27	16.008115	0.374700	50.265482
19	34	24	29	6.926346	1.266800	62.831853
19	37	25	31	6.429306	1.588200	75.398224
19	40	26	33	8.989083	1.473800	87.964594
19	43	27	35	9.445862	1.064000	100.530965
19	46	28	37	3.506894	2.514800	113.097336
20	23	21	22	31.354327	0.067600	12.566371
20	26	22	24	20.428090	0.086500	25.132741
20	29	23	26	16.470486	0.737800	37.699112
20	32	24	28	9.351718	0.183500	50.265482
20	35	25	30	13.150853	0.308600	62.831853
20	38	26	32	6.597345	0.970800	75.398224
20	41	27	34	6.047566	1.341700	87.964594
20	44	28	36	11.239487	0.836700	100.530965
20	47	29	38	5.575221	1.569200	113.097336
21	24	22	23	27.837610	0.074300	12.566371
21	27	23	25	14.440912	0.018100	25.132741
21	30	24	27	14.893476	0.750000	37.699112
21	33	25	29	8.322100	0.388600	50.265482
21	36	26	31	13.108804	0.471700	62.831853
21	42	28	35	2.907920	2.894400	87.964594
21	45	29	37	2.773268	2.320300	100.530965
21	48	30	39	8.886219	1.462300	113.097336
22	25	23	24	19.263832	0.273600	12.566371
22	28	24	26	10.652288	0.200500	25.132741
22	31	25	28	12.209371	0.738700	37.699112
0
