date,instrument,group,point_id,display_name,longitude_WGS84,latitude_WGS84,elevation_m,original_label,data_class,elevation_source,quality_flags
2026-05-02,ERT,ERT electrodes,11,0502-E11,-91.58586103,41.6653326,212.697,ERT_010,real,provided_in_source,
2026-05-02,ERT,ERT electrodes,12,0502-E12,-91.58585718,41.66534578,212.742,ERT_011,real,provided_in_source,
2026-05-02,ERT,ERT electrodes,13,0502-E13,-91.58585332,41.66535895,212.786,ERT_012,real,provided_in_source,
2026-05-02,ERT,ERT electrodes,14,0502-E14,-91.58584944,41.66537214,212.831,ERT_013,real,provided_in_source,
2026-05-02,ERT,ERT electrodes,15,0502-E15,-91.58584559,41.66538532,212.876,ERT_014,real,provided_in_source,
2026-05-02,ERT,ERT electrodes,16,0502-E16,-91.58584173,41.66539849,212.921,ERT_015,real,provided_in_source,
2026-05-02,ERT,ERT electrodes,17,0502-E17,-91.58583786,41.66541167,212.965,ERT_016,real,provided_in_source,
2026-05-02,ERT,ERT electrodes,18,0502-E18,-91.58583401,41.66542484,213.01,ERT_017,real,provided_in_source,
2026-05-02,ERT,ERT electrodes,19,0502-E19,-91.58583014,41.66543803,213.055,ERT_018,real,provided_in_source,
2026-05-02,ERT,ERT electrodes,20,0502-E20,-91.58582628,41.66545121,213.099,ERT_019,real,provided_in_source,
2026-05-02,ERT,ERT electrodes,21,0502-E21,-91.58582242,41.66546438,213.144,ERT_020,real,provided_in_source,
2026-05-02,ERT,ERT electrodes,22,0502-E22,-91.58581856,41.66547756,213.189,ERT_021,real,provided_in_source,
2026-05-02,ERT,ERT electrodes,23,0502-E23,-91.58581469,41.66549073,213.234,ERT_022,real,provided_in_source,
2026-05-02,ERT,ERT electrodes,24,0502-E24,-91.58581082,41.66550392,213.278,ERT_023,real,provided_in_source,
2026-05-02,ERT,ERT electrodes,25,0502-E25,-91.58580697,41.66551708,213.323,ERT_024,real,provided_in_source,
2026-05-02,ERT,ERT electrodes,26,0502-E26,-91.58580311,41.66553027,213.368,ERT_025,real,provided_in_source,
2026-05-02,ERT,ERT electrodes,27,0502-E27,-91.58579924,41.66554345,213.412,ERT_026,real,provided_in_source,
2026-05-02,ERT,ERT electrodes,28,0502-E28,-91.58579539,41.66555662,213.457,ERT_027,real,provided_in_source,
2026-05-02,ERT,ERT electrodes,29,0502-E29,-91.58579152,41.66556981,213.502,ERT_028,real,provided_in_source,
2026-05-02,ERT,ERT electrodes,30,0502-E30,-91.58578765,41.66558297,213.546,ERT_029,real,provided_in_source,
2026-05-02,ERT,ERT electrodes,31,0502-E31,-91.5857838,41.66559616,213.591,ERT_030,real,provided_in_source,
2026-05-02,ERT,ERT electrodes,32,0502-E32,-91.58577994,41.66560933,213.636,ERT_031,real,provided_in_source,
2026-05-02,ERT,ERT electrodes,33,0502-E33,-91.58577607,41.66562252,213.681,ERT_032,real,provided_in_source,
2026-05-02,ERT,ERT electrodes,34,0502-E34,-91.58577221,41.66563569,213.725,ERT_033,real,provided_in_source,
2026-05-02,ERT,ERT electrodes,35,0502-E35,-91.58576835,41.66564886,213.77,ERT_034,real,provided_in_source,
2026-05-02,ERT,ERT electrodes,36,0502-E36,-91.58576449,41.66566205,213.815,ERT_035,real,provided_in_source,
2026-05-02,ERT,ERT electrodes,37,0502-E37,-91.58576063,41.66567522,213.859,ERT_036,real,provided_in_source,
2026-05-02,ERT,ERT electrodes,38,0502-E38,-91.58575677,41.6656884,213.904,ERT_037,real,provided_in_source,
2026-05-02,ERT,ERT electrodes,39,0502-E39,-91.5857529,41.66570157,213.949,ERT_038,real,provided_in_source,
2026-05-02,ERT,ERT electrodes,40,0502-E40,-91.58574903,41.66571475,213.994,ERT_039,real,provided_in_source,
2026-05-02,ERT,ERT electrodes,41,0502-E41,-91.58574518,41.66572794,214.038,ERT_040,real,provided_in_source,
2026-05-02,ERT,ERT electrodes,42,0502-E42,-91.58574132,41.66574111,214.083,ERT_041,real,provided_in_source,
2026-05-02,ERT,ERT electrodes,43,0502-E43,-91.58573744,41.66575429,214.128,ERT_042,real,provided_in_source,
2026-05-02,ERT,ERT electrodes,44,0502-E44,-91.58573359,41.66576746,214.172,ERT_043,real,provided_in_source,
2026-05-02,ERT,ERT electrodes,45,0502-E45,-91.58572973,41.66578065,214.217,ERT_044,real,provided_in_source,
2026-05-02,ERT,ERT electrodes,46,0502-E46,-91.58572586,41.66579383,214.262,ERT_045,real,provided_in_source,
2026-05-02,ERT,ERT electrodes,47,0502-E47,-91.58572201,41.66580699,214.306,ERT_046,real,provided_in_source,
2026-05-02,ERT,ERT electrodes,48,0502-E48,-91.58571814,41.66582018,214.351,ERT_047,real,provided_in_source,
2026-05-02,Seismic,Seismic line 1000,01,0502-S1000-01,-91.58587466,41.66514582,204.113,1000_1,real,provided_in_source,
2026-05-02,Seismic,Seismic line 1000,02,0502-S1000-02,-91.58587025,41.66516353,204.133,1000_2,real,provided_in_source,
2026-05-02,Seismic,Seismic line 1000,03,0502-S1000-03,-91.58586584,41.66518124,204.217,1000_3,real,provided_in_source,
2026-05-02,Seismic,Seismic line 1000,04,0502-S1000-04,-91.58586143,41.66519894,204.257,1000_4,real,provided_in_source,
2026-05-02,Seismic,Seismic line 1000,05,0502-S1000-05,-91.58585701,41.66521664,204.317,1000_5,real,provided_in_source,
2026-05-02,Seismic,Seismic line 1000,06,0502-S1000-06,-91.5858526,41.66523435,204.297,1000_6,real,provided_in_source,
2026-05-02,Seismic,Seismic line 1000,07,0502-S1000-07,-91.5858482,41.66525206,204.301,1000_7,real,provided_in_source,
2026-05-02,Seismic,Seismic line 1000,08,0502-S1000-08,-91.58584379,41.66526976,204.341,1000_8,real,provided_in_source,
2026-05-02,Seismic,Seismic line 1000,09,0502-S1000-09,-91.58583938,41.66528746,204.401,1000_9,real,provided_in_source,
2026-05-02,Seismic,Seismic line 1000,10,0502-S1000-10,-91.58583497,41.66530517,204.481,1000_10,real,provided_in_source,
2026-05-02,Seismic,Seismic line 1000,11,0502-S1000-11,-91.58583056,41.66532288,204.53,1000_11,real,provided_in_source,
2026-05-02,Seismic,Seismic line 1000,12,0502-S1000-12,-91.58582615,41.66534058,204.57,1000_12,real,provided_in_source,
2026-05-02,Seismic,Seismic line 1000,13,0502-S1000-13,-91.58582173,41.66535828,204.61,1000_13,real,provided_in_source,
2026-05-02,Seismic,Seismic line 1000,14,0502-S1000-14,-91.58581732,41.66537599,204.63,1000_14,real,provided_in_source,
2026-05-02,Seismic,Seismic line 1000,15,0502-S1000-15,-91.58581291,41.6653937,204.678,1000_15,real,provided_in_source,
2026-05-02,Seismic,Seismic line 1000,16,0502-S1000-16,-91.5858085,41.6654114,204.698,1000_16,real,provided_in_source,
2026-05-02,Seismic,Seismic line 1000,17,0502-S1000-17,-91.58580409,41.6654291,204.738,1000_17,real,provided_in_source,
2026-05-02,Seismic,Seismic line 1000,18,0502-S1000-18,-91.58579969,41.66544681,204.818,1000_18,real,provided_in_source,
2026-05-02,Seismic,Seismic line 1000,19,0502-S1000-19,-91.58579528,41.66546452,204.856,1000_19,real,provided_in_source,
2026-05-02,Seismic,Seismic line 1000,20,0502-S1000-20,-91.58579087,41.66548222,204.856,1000_20,real,provided_in_source,
2026-05-02,Seismic,Seismic line 1000,21,0502-S1000-21,-91.58578646,41.66549992,204.896,1000_21,real,provided_in_source,
2026-05-02,Seismic,Seismic line 1000,22,0502-S1000-22,-91.58578204,41.66551763,204.896,1000_22,real,provided_in_source,
2026-05-02,Seismic,Seismic line 1000,23,0502-S1000-23,-91.58577763,41.66553534,204.914,1000_23,real,provided_in_source,
2026-05-02,Seismic,Seismic line 1000,24,0502-S1000-24,-91.58577322,41.66555304,204.974,1000_24,real,provided_in_source,
2026-05-02,Seismic,Seismic line 1000,25,0502-S1000-25,-91.58576881,41.66557074,204.954,1000_25,real,provided_in_source,
2026-05-02,Seismic,Seismic line 1000,26,0502-S1000-26,-91.5857644,41.66558845,204.994,1000_26,real,provided_in_source,
